Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cameroon,-0.1345774093779933,-0.12861462241450308,-0.12701286093640327,-0.12380472362898985,-0.12020856851959218,-0.11858705218177233,-0.11901260785548456,-0.1187101242188914,-0.11769987145144815,-0.11549114497918268,-0.11517253600256792,-0.11349312112160957,-0.1119669480150209,-0.11060930203663567,-0.10968054062595682,-0.11118645515885048,-0.11153459950200607,-0.11280803194154591,-0.11394087156218762,-0.11361124108168882,-0.11139638715014534,-0.11241329916391583
Canada,-0.09025308506659692,-0.09142571894706547,-0.0930411874318596,-0.0953417464163772,-0.09716861515321502,-0.10096410528072415,-0.10342516457154924,-0.10306938808769901,-0.10442526372573227,-0.10180525423940585,-0.10478859445629891,-0.10633860926720305,-0.10786572899406187,-0.10725852577488434,-0.10745295734536267,-0.10791809926057887,-0.10940357398171434,-0.1090284959476138,-0.11217788754689502,-0.11149959885824662,-0.1121822018641722,-0.11240504639144887
Cape Verde,-0.1992124433956717,-0.19525450738701225,-0.19349110213594264,-0.18989548206799492,-0.1841341276878497,-0.1839841087255307,-0.18887989779559453,-0.19030633798095467,-0.1889905962268532,-0.1861441496006312,-0.18528790901008443,-0.1846344278637148,-0.186060305767783,-0.18625109153094319,-0.18721105269630442,-0.1887167338457239,-0.18726336252494755,-0.18740851182674087,-0.18671125935805308,-0.18582254157458988,-0.18603686022983668,-0.18395071850212413
Central African Republic,-0.18418933358679931,-0.1812325182284107,-0.17953331479854806,-0.1772969616355,-0.17193268133188788,-0.17263381297814762,-0.17588921303231184,-0.17750252480035197,-0.17655612685555241,-0.17309834608352878,-0.17282497010059164,-0.17020551166636796,-0.17320995979866563,-0.17302110438295573,-0.1734315758156414,-0.1749057811203852,-0.1734002656813672,-0.1735747379828824,-0.17307049389230342,-0.1721973230539266,-0.1717057452415236,-0.17137250708211083
Chad,-0.16681392060448658,-0.1643828907376853,-0.16240080125933057,-0.1605517810619088,-0.15507624679772028,-0.15393947487329498,-0.15657774661283955,-0.15769956942802177,-0.1560815725927669,-0.1534877254187775,-0.15271858879765382,-0.151566284034729,-0.1521638398739552,-0.15197433080674158,-0.15247271596036716,-0.15396493691312624,-0.15316678443352208,-0.15272806206467734,-0.15178912625905855,-0.15071130032656901,-0.14882145551735632,-0.14954724577766526
Chile,-0.1454828343612445,-0.14311717112302003,-0.14363844620345725,-0.14018644150509504,-0.13707418956804526,-0.13788017214574064,-0.14133344750828628,-0.13932442897093456,-0.1395461195151173,-0.13512194166514638,-0.12957180902544244,-0.13022953333015694,-0.12975304367505952,-0.12882686951720954,-0.13104832066960304,-0.13381180018008498,-0.133816260092393,-0.1349634725390665,-0.13644434751913959,-0.1365234641418558,-0.13597351479032613,-0.12719904936249843
China,12.847448618003535,12.9071133442114,12.926819150506267,12.976540795153301,13.073659617288659,13.07592259022684,13.007550358302492,12.973963926979401,12.985855203332992,13.044114511841235,13.054611829427765,13.046631103830391,13.006613581433692,12.968506005253673,12.92307546708251,12.895169795059394,12.891262578609647,12.8646679609012,12.840145334534691,12.841195701584006,12.861294373441444,12.943681190960797
Colombia,-0.1043152202818374,-0.1073727918107879,-0.10848792474595431,-0.10636483629726684,-0.10544818057608121,-0.10504968869467847,-0.10369139712451807,-0.10589455770256438,-0.103233586662245,-0.10645329037766159,-0.10714667282630747,-0.1064165104252117,-0.1069152198392856,-0.10443696066467915,-0.10460795398788333,-0.10119836369599125,-0.10287157162413413,-0.10215459255322015,-0.09821820875159465,-0.09939972082005251,-0.09912952638026025,-0.08911416536279129
Comoros,-0.1978828597592763,-0.19411074654141366,-0.19253433095694253,-0.18914211307486156,-0.1835224930774948,-0.18350725682277966,-0.18836536450422106,-0.18986260340551972,-0.1886352017375958,-0.1859194406392333,-0.18505514874230394,-0.18438288531410024,-0.1857667352280975,-0.18595355972403954,-0.18688996170546338,-0.18840254111694263,-0.187056812969765,-0.1872150859528305,-0.18687540189491586,-0.1859014347922769,-0.18598152937656606,-0.18388516346045258
Congo,-0.18312871257779328,-0.1806343003364753,-0.18021763600327825,-0.17808741245594,-0.1724162313577152,-0.17260388260277693,-0.17756913129266028,-0.17876579301545448,-0.17779738684235868,-0.17491070733401562,-0.1742261579983111,-0.17345147047549728,-0.17458749659032016,-0.174963956168126,-0.17626041999581193,-0.1782834541207958,-0.17744603387266086,-0.17767480828215168,-0.17692244516471156,-0.17553092401258538,-0.1761697367255092,-0.17433753618384298
Cook Islands,-0.20054230267913595,-0.19659546837840372,-0.19487323280081614,-0.19129869488720716,-0.18558542140645995,-0.18555472696707204,-0.19053554101445808,-0.19207130748485501,-0.1908472748791561,-0.18809697607482193,-0.18724257480169879,-0.18660066467566852,-0.18804643732022328,-0.18825022996454746,-0.1892529216909215,-0.1907878044439424,-0.1894239274610764,-0.18958012895426204,-0.18924420614475967,-0.1882816576703501,-0.18847899661667447,-0.1862774293912856
Costa Rica,-0.19290860166733417,-0.1891050392164622,-0.18864038029230604,-0.1853409826164063,-0.1796645666674182,-0.18004689860928794,-0.18461139401851048,-0.18606498371499236,-0.18515421543571353,-0.1819153853417807,-0.18015203201576907,-0.17935006507320522,-0.18045744596159072,-0.18054245881707015,-0.18116362590482843,-0.18335094637695704,-0.18214851647159666,-0.18135458899854331,-0.18119974208940412,-0.1795090433548127,-0.18020873001756238,-0.1779426482419438
Cote d'Ivoire,-0.1517792336187242,-0.1495716377740933,-0.14900210530508126,-0.1463435445850202,-0.14324489409051908,-0.14190775456043284,-0.14296280293096894,-0.14089119169803885,-0.13726355789204642,-0.13122531483151778,-0.12530764091970417,-0.12191073219821141,-0.12200475727050046,-0.1226554030672494,-0.12467916349537808,-0.12708952101290927,-0.12670490037975554,-0.12699912729158053,-0.12661793673805588,-0.12553007825070456,-0.12301348138641141,-0.12425457433558966
Croatia,-0.14174485337290632,-0.14029581937272517,-0.1399252125912049,-0.13957258528846783,-0.13804778454381256,-0.13734741146414176,-0.14057909144525793,-0.1400088915534561,-0.1413617100098217,-0.14026010173390716,-0.14247054455058583,-0.14225034808027273,-0.14466335225827046,-0.14528806025410912,-0.1462603260566524,-0.14677313183184537,-0.15104447360679146,-0.15449764365283272,-0.15487944519931915,-0.15989529792834378,-0.16167999602470656,-0.15967438377498977
Cuba,-0.14411755442943844,-0.14202787192842398,-0.1446817084230926,-0.14046163729561503,-0.13619661414605128,-0.13359658331646967,-0.1386338555204388,-0.1391391447098564,-0.13382263555615093,-0.13153119983147787,-0.12958632401356984,-0.13547398987689852,-0.13476087072070644,-0.13419696574661505,-0.13360565579506348,-0.13523870342286473,-0.13415075719395028,-0.13189193664868562,-0.13264155679950806,-0.1314817632590743,-0.1274831437528682,-0.12780762645165045
Cyprus,-0.19660020503634543,-0.192750661106353,-0.19116658350281765,-0.18775105823181543,-0.18235106622402636,-0.18232997601911996,-0.18659438434202094,-0.18900879433130532,-0.18768216131963295,-0.18511133789488357,-0.1840978534695492,-0.18348467627439902,-0.1849834128004221,-0.1854056835699039,-0.1864605809760385,-0.18808164252679271,-0.18655781188001166,-0.18686189533111888,-0.18653160685860865,-0.18556378900630116,-0.18596737866983876,-0.18384986858449323
Czechia,-0.08330946649155599,-0.08569493712632466,-0.08881207599408904,-0.08895333783989169,-0.10059149867340461,-0.1001510451808476,-0.10448106788357596,-0.11705998049751244,-0.11738917991371285,-0.11318618204119987,-0.11719410952829955,-0.12138546409264973,-0.1231742459636403,-0.12563007952682181,-0.13237099002090436,-0.13283661763329363,-0.1368504447635652,-0.1395617051756449,-0.14320444417837536,-0.14626444034174646,-0.14520035856442107,-0.14628241784719606
Democratic Republic of Congo,-0.023335555495653783,-0.019894873311619935,-0.019804818867269407,-0.015933627204055646,-0.010881558880616597,-0.009776538276500144,-0.0020083717198493517,0.006246356803165799,0.010443910428720858,0.011657786736149348,0.01267096879005912,0.017829581338317427,0.020656086162954536,0.024064991085158492,0.027140841190697974,0.028708681111389366,0.03143040107963926,0.03581024982830253,0.03729655434978574,0.03628372430808764,0.05060100946139735,0.0502822724836795
Denmark,-0.1635355811033857,-0.16039845517448598,-0.15733247741841216,-0.1562411706122125,-0.1533067017975908,-0.15538368813147457,-0.15952582231679124,-0.16292081960013108,-0.16387169448443317,-0.16215704316499469,-0.1618230717291047,-0.16363453450856902,-0.16554409761970523,-0.16564183728105408,-0.16714705087940784,-0.16782797568237143,-0.16809997773970578,-0.1688589984301189,-0.16842161553190818,-0.1696486800732894,-0.16995959043050027,-0.16768331017245977
Djibouti,-0.1979344746729106,-0.1940259107739954,-0.19216433085110615,-0.18862509513839748,-0.1829013793887052,-0.1829060921570811,-0.18774256940723022,-0.18915506490207346,-0.18802707290651186,-0.18524885340788394,-0.18449496272640598,-0.183680848186797,-0.1849786193348199,-0.18504492406672823,-0.18580654118079162,-0.18726803655349603,-0.1858335303028112,-0.18586651964347226,-0.18549194611594202,-0.18454231249138797,-0.18453587833761612,-0.18254250485557544
Dominica,-0.20005323586730334,-0.1961235115194122,-0.19441520744519808,-0.19085833299047045,-0.18516617698063073,-0.1851362247669855,-0.19009230803337568,-0.1916200655431459,-0.19039403996769932,-0.18764897401316388,-0.18678960308057468,-0.1861549194622599,-0.18762016962301364,-0.1878358085789269,-0.18887399479568384,-0.19044858035332815,-0.18909254275007664,-0.1892661817349628,-0.18894310460969324,-0.18798681508008336,-0.18820138837009237,-0.18602512293240558
Dominican Republic,-0.17858225873664121,-0.17511044631972583,-0.17353212787116284,-0.1700449720119353,-0.16325815430757754,-0.16170033403107298,-0.1645273347586129,-0.165600949360011,-0.164500005914924,-0.16181310689695855,-0.16178241819662031,-0.16058544264075675,-0.1596411785581952,-0.15767987212956072,-0.1579718932540856,-0.15852255246867097,-0.15721136425751198,-0.15692074232781889,-0.15666067945326795,-0.15645111757198749,-0.1539970632531284,-0.15498613425877172
East Timor,-0.19701774143382236,-0.19306353435779888,-0.1915577429097998,-0.18779725854124668,-0.18193679538873386,-0.18176908659639598,-0.18645733404499437,-0.1877947547475089,-0.1863987287370511,-0.18271794263000773,-0.18182391576776938,-0.1809422604885642,-0.18235197555551103,-0.1822801705581549,-0.18299310053294782,-0.1847510839834119,-0.18339556648462627,-0.18371248668630658,-0.18329144962259417,-0.1822303491638119,-0.18299016537244492,-0.18043021033786705
Ecuador,-0.16744087986249034,-0.16475214470195515,-0.16131362230287602,-0.16127317457772528,-0.15583463158532287,-0.1534913910012401,-0.15764633637870762,-0.15856827016320624,-0.15443111793380662,-0.15267360526459248,-0.15411462994659503,-0.14780837850765288,-0.15236592536891594,-0.15595983381280293,-0.15652146177427798,-0.15690626645137656,-0.15605994951797786,-0.15678129706576172,-0.15655304140906146,-0.15625858374938162,-0.1556732065151378,-0.15035747079784975
Egypt,0.13412238853131145,0.15172530336826606,0.15319886918196352,0.15503408286945433,0.14063320107557828,0.1340020690536411,0.150599238262788,0.15479024422920618,0.15709296708865164,0.16048838999542248,0.16173359353720956,0.16702553164202882,0.19983413512288986,0.17882142711808693,0.19383635674065564,0.22417297817766302,0.20286138228951425,0.1892190178306161,0.19276326754962633,0.19354116159215676,0.18037586888351412,0.1763081808490789
El Salvador,-0.18986697408657224,-0.1861087219676854,-0.1854857266601501,-0.18183091410736787,-0.1764769047231998,-0.1762310953943062,-0.18069798896385134,-0.18216275318293967,-0.18101515590003595,-0.1781673059391838,-0.17740690657190844,-0.1767227978401714,-0.1780542244448621,-0.17748734786196355,-0.17758454251054026,-0.1785458498514192,-0.1783130892930738,-0.17801884397072584,-0.17901289217090732,-0.17774031004555135,-0.1775266676031803,-0.1759723117915131
Equatorial Guinea,-0.1978594986701948,-0.19416461262150608,-0.1926119363696041,-0.189117553963006,-0.18350915215229044,-0.18350801234681813,-0.18838616296941288,-0.18989318669271862,-0.18861748924737007,-0.18580788258042433,-0.18484453684286137,-0.18412856264880956,-0.18558388205244314,-0.1859243956574934,-0.18696337552179793,-0.18838404218902913,-0.18694810565592782,-0.18696019921682053,-0.18647351300582918,-0.1854786659633917,-0.18554667338893602,-0.1834961931656888
Eritrea,-0.18519158632898522,-0.1822469078374237,-0.18083477163246695,-0.17822880971875193,-0.17246473849365554,-0.17219932853878545,-0.1762343699663899,-0.17759895138192272,-0.1760602373757969,-0.17303864393888854,-0.17216560797059588,-0.1714168891531717,-0.17264310326275756,-0.17251994906342702,-0.17351341797985287,-0.17489734098452467,-0.17379610517136776,-0.17385792685975027,-0.17347336928077692,-0.17259678374361767,-0.1723914980293292,-0.1702901481874339
Estonia,-0.17930638358639986,-0.1770139571229915,-0.1759736299517102,-0.17373048011705078,-0.17094457517431938,-0.17142944954356995,-0.17634824308812938,-0.1801547788477548,-0.1812372849866425,-0.17981507333241148,-0.17933994445292653,-0.1793332106219186,-0.18186438657273188,-0.18112439860093169,-0.18372043789145512,-0.18585385132365687,-0.18399105168166355,-0.18453386282157844,-0.18435747182109755,-0.1823283615002849,-0.18257857590261742,-0.18057419267008945
Eswatini,-0.19718940064592255,-0.19302852802319337,-0.19118486616181368,-0.18766795846472004,-0.18191719359073624,-0.18182708759565808,-0.18662298985573056,-0.1880736349438577,-0.1868953411755913,-0.18432417809652915,-0.18259031870662518,-0.18292442504657916,-0.1840587415943796,-0.18416930213274715,-0.18502648305315098,-0.18631811660513659,-0.18480791273072114,-0.18477825487813818,-0.18434070133152156,-0.18338861330666847,-0.1834341901700518,-0.1818803106975028
Ethiopia,-0.02166878658233897,-0.026639647694100366,-0.030733757722522907,-0.03529289423312336,-0.03509083263858783,-0.037457776701889545,-0.03704884517020788,-0.03820118983044514,-0.038897303669930265,-0.03929504400358749,-0.040231536643380104,-0.03752970373923047,-0.03653668101442766,-0.039248039245570174,-0.038500585237967955,-0.03220221854712377,-0.029518807552822806,-0.026363301486998975,-0.021077354644503492,-0.016728651189532196,-0.0009881743551843046,-0.0005610344203510395
Fiji,-0.1964998695032993,-0.1927842777755016,-0.19121081986654237,-0.18775105823181543,-0.18230238354959652,-0.18223565174877687,-0.1869643652506828,-0.1884434035007553,-0.1872211546012404,-0.184527354169791,-0.1836604376520358,-0.1829331129080671,-0.18429841487448922,-0.18445376843783814,-0.1854304043593339,-0.18697020381408833,-0.18565867054239638,-0.18580561700900292,-0.18549676900183312,-0.18457469684146643,-0.18477591036296362,-0.18279507083560217
